Career Pathway,Code,Occupation
Science and Math,19-2041.00,"Environmental Scientists and Specialists, Including Health"
Science and Math,19-1041.00,Epidemiologists
Science and Math,29-1062.00,Family and General Practitioners
Science and Math,19-4011.02,Food Science Technicians
Science and Math,19-1029.03,Geneticists
Science and Math,17-1022.01,Geodetic Surveyors
Science and Math,19-3092.00,Geographers
Science and Math,15-1199.05,Geographic Information Systems Technicians
Science and Math,25-1064.00,"Geography Teachers, Postsecondary"
Science and Math,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
Science and Math,15-1199.04,Geospatial Information Scientists and Technologists
Science and Math,25-1071.00,"Health Specialties Teachers, Postsecondary"
Science and Math,19-3093.00,Historians
Science and Math,25-1125.00,"History Teachers, Postsecondary"
Science and Math,19-2043.00,Hydrologists
Science and Math,19-2041.03,Industrial Ecologists
Science and Math,19-1099.00,"Life Scientists, All Other"
Science and Math,19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
Science and Math,13-1161.00,Market Research Analysts and Marketing Specialists
Science and Math,19-2032.00,Materials Scientists
Science and Math,15-2099.00,"Mathematical Science Occupations, All Other"
Science and Math,25-1022.00,"Mathematical Science Teachers, Postsecondary"
Science and Math,15-2091.00,Mathematical Technicians
Science and Math,15-2021.00,Mathematicians
Science and Math,19-1042.00,"Medical Scientists, Except Epidemiologists"
Science and Math,19-1022.00,Microbiologists
Science and Math,19-1029.02,Molecular and Cellular Biologists
Science and Math,25-4013.00,Museum Technicians and Conservators
Science and Math,11-9121.00,Natural Sciences Managers
Science and Math,17-3029.01,Non-Destructive Testing Specialists
Science and Math,19-4051.01,Nuclear Equipment Operation Technicians
Science and Math,19-4051.02,Nuclear Monitoring Technicians
Science and Math,19-4051.00,Nuclear Technicians
Science and Math,19-1031.03,Park Naturalists
Science and Math,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
Science and Math,19-2099.00,"Physical Scientists, All Other"
Science and Math,19-2012.00,Physicists
Science and Math,25-1054.00,"Physics Teachers, Postsecondary"
Science and Math,25-1065.00,"Political Science Teachers, Postsecondary"
Science and Math,19-3094.00,Political Scientists
Science and Math,19-3039.00,"Psychologists, All Other"
Science and Math,19-4099.01,Quality Control Analysts
Science and Math,17-2072.01,Radio Frequency Identification Device Specialists
Science and Math,19-2099.01,Remote Sensing Scientists and Technologists
Science and Math,19-4099.03,Remote Sensing Technicians
Science and Math,19-4061.00,Social Science Research Assistants
Science and Math,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other"
Science and Math,19-3099.00,"Social Scientists and Related Workers, All Other"
Science and Math,19-3041.00,Sociologists
Science and Math,15-1132.00,"Software Developers, Applications"
Science and Math,15-2041.00,Statisticians
Science and Math,19-3022.00,Survey Researchers
Science and Math,25-1194.00,"Vocational Education Teachers, Postsecondary"
Science and Math,11-9121.02,Water Resource Specialists
Science and Math,19-1023.00,Zoologists and Wildlife Biologists
