Career Pathway,Code,Occupation
Production,51-4111.00,Tool and Die Makers
Production,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
Production,51-6093.00,Upholsterers
Production,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Production,51-4121.06,"Welders, Cutters, and Welder Fitters"
Production,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
Production,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
Production,51-7099.00,"Woodworkers, All Other"
Production,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
Quality Assurance,17-3025.00,Environmental Engineering Technicians
Quality Assurance,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
Quality Assurance,29-9011.00,Occupational Health and Safety Specialists
